Question ID,Question Text,Truth Query,LLM Query,Generation Time (s),Truth Exec Time (s),LLM Exec Time (s),String Match,Execution Score,Error_Message
20,how many states border the state that borders the most states,"SELECT MAX( DERIVED_TABLEalias0.DERIVED_FIELDalias0 ) FROM ( SELECT BORDER_INFOalias0.STATE_NAME , COUNT( DISTINCT BORDER_INFOalias0.BORDER ) AS DERIVED_FIELDalias0 FROM BORDER_INFO AS BORDER_INFOalias0 GROUP BY BORDER_INFOalias0.STATE_NAME ) AS DERIVED_TABLEalias0 ;",select count(state_name) from border_info where border = (select border from border_info group by border order by count(state_name) desc limit 1),0.338,0.0008,0.0004,0,1,
21,what state is dallas in,"SELECT CITYalias0.STATE_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.CITY_NAME = ""dallas"" ;",select state_name from city where city_name = 'dallas',0.219,0.0001,0.0,0,1,
22,what is the population of the state with the largest area,SELECT STATEalias0.POPULATION FROM STATE AS STATEalias0 WHERE STATEalias0.AREA = ( SELECT MAX( STATEalias1.AREA ) FROM STATE AS STATEalias1 ) ;,select population from state where area = (select max(area) from state),0.218,0.0002,0.0001,0,1,
23,how many people live in chicago,"SELECT CITYalias0.POPULATION FROM CITY AS CITYalias0 WHERE CITYalias0.CITY_NAME = ""chicago"" ;",select population from city where city_name = 'chicago',0.22,0.0002,0.0001,0,1,
24,what is the smallest city in arkansas,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MIN( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""arkansas"" ) AND CITYalias0.STATE_NAME = ""arkansas"" ;",select city_name from city where state_name = 'arkansas' order by population asc limit 1,0.214,0.0003,0.0002,0,1,
25,which states lie on the largest river in the united states,SELECT RIVERalias0.TRAVERSE FROM RIVER AS RIVERalias0 WHERE RIVERalias0.LENGTH = ( SELECT MAX( RIVERalias1.LENGTH ) FROM RIVER AS RIVERalias1 ) ;,select distinct t1.state_name from state t1 inner join border_info t2 on t1.state_name = t2.state_name inner join river t3 on t2.border = t3.river_name where t3.country_name = 'usa' and t3.length = (select max(length) from river where country_name = 'usa'),0.28,0.0004,0.0007,0,0,Data Mismatch
26,what is the population density of the state with the smallest area,SELECT STATEalias0.DENSITY FROM STATE AS STATEalias0 WHERE STATEalias0.AREA = ( SELECT MIN( STATEalias1.AREA ) FROM STATE AS STATEalias1 ) ;,select density from state where area = (select min(area) from state),0.165,0.0001,0.0,0,1,
27,which states have points higher than the highest point in colorado,"SELECT HIGHLOWalias0.STATE_NAME FROM HIGHLOW AS HIGHLOWalias0 WHERE HIGHLOWalias0.HIGHEST_ELEVATION > ( SELECT HIGHLOWalias1.HIGHEST_ELEVATION FROM HIGHLOW AS HIGHLOWalias1 WHERE HIGHLOWalias1.STATE_NAME = ""colorado"" ) ;","select distinct t1.state_name 
from highlow t1 
join highlow t2 on t2.state_name = 'colorado' 
where t1.highest_elevation > t2.highest_elevation",0.346,0.0006,0.0003,0,1,
28,what is the highest elevation in new mexico,"SELECT HIGHLOWalias0.HIGHEST_ELEVATION FROM HIGHLOW AS HIGHLOWalias0 WHERE HIGHLOWalias0.STATE_NAME = ""new mexico"" ;",select highest_elevation from highlow where state_name = 'new mexico',0.156,0.0002,0.0001,0,1,
29,give me the longest river that passes through the us,SELECT RIVERalias0.RIVER_NAME FROM RIVER AS RIVERalias0 WHERE RIVERalias0.LENGTH = ( SELECT MAX( RIVERalias1.LENGTH ) FROM RIVER AS RIVERalias1 ) ;,"select river_name, length from river where country_name = 'usa' order by length desc limit 1",0.206,0.0003,0.0002,0,0,Data Mismatch
30,what state has the city with the largest population,SELECT CITYalias0.STATE_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 ) ;,select state_name from city order by population desc limit 1,0.168,0.0004,0.0002,0,1,
31,what is the smallest city in the largest state,SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MIN( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME IN ( SELECT STATEalias0.STATE_NAME FROM STATE AS STATEalias0 WHERE STATEalias0.AREA = ( SELECT MAX( STATEalias1.AREA ) FROM STATE AS STATEalias1 ) ) ) AND CITYalias0.STATE_NAME IN ( SELECT STATEalias2.STATE_NAME FROM STATE AS STATEalias2 WHERE STATEalias2.AREA = ( SELECT MAX( STATEalias3.AREA ) FROM STATE AS STATEalias3 ) ) ;,"select c.city_name 
from city c 
join state s on c.state_name = s.state_name 
order by s.area desc, c.population asc 
limit 1",2.395,0.0019,0.0004,0,1,
32,what state is the biggest,SELECT STATEalias0.STATE_NAME FROM STATE AS STATEalias0 WHERE STATEalias0.AREA = ( SELECT MAX( STATEalias1.AREA ) FROM STATE AS STATEalias1 ) ;,select state_name from state order by area desc limit 1,2.272,0.0003,0.0001,0,1,
33,what are the highest points of states surrounding mississippi,"SELECT HIGHLOWalias0.HIGHEST_POINT FROM HIGHLOW AS HIGHLOWalias0 WHERE HIGHLOWalias0.STATE_NAME IN ( SELECT BORDER_INFOalias0.BORDER FROM BORDER_INFO AS BORDER_INFOalias0 WHERE BORDER_INFOalias0.STATE_NAME = ""mississippi"" ) ;",select t1.highest_point from highlow t1 inner join border_info t2 on t1.state_name = t2.state_name where t2.border = 'mississippi',2.505,0.0006,0.0002,0,1,
34,what is the highest point in states bordering georgia,"SELECT HIGHLOWalias0.HIGHEST_POINT FROM HIGHLOW AS HIGHLOWalias0 WHERE HIGHLOWalias0.STATE_NAME IN ( SELECT BORDER_INFOalias0.BORDER FROM BORDER_INFO AS BORDER_INFOalias0 WHERE BORDER_INFOalias0.STATE_NAME = ""mississippi"" ) ORDER BY HIGHLOWalias0.HIGHEST_ELEVATION DESC LIMIT 1 ;","select t1.highest_point, t1.highest_elevation from highlow t1 
join border_info t2 on t1.state_name = t2.state_name 
where t2.border = 'georgia' 
order by t1.highest_elevation desc 
limit 1",2.497,0.0006,0.0003,0,0,Data Mismatch
35,what is the state with the lowest population density,SELECT STATEalias0.STATE_NAME FROM STATE AS STATEalias0 WHERE STATEalias0.DENSITY = ( SELECT MIN( STATEalias1.DENSITY ) FROM STATE AS STATEalias1 ) ;,select state_name from state order by density asc limit 1,2.285,0.0004,0.0001,0,1,
36,what is the longest river that passes the states that border the state that borders the most states,"SELECT DISTINCT RIVERalias0.RIVER_NAME FROM RIVER AS RIVERalias0 WHERE RIVERalias0.LENGTH IN ( SELECT MAX( DERIVED_TABLEalias1.DERIVED_FIELDalias0 ) FROM ( SELECT MAX( RIVERalias1.LENGTH ) AS DERIVED_FIELDalias0 , RIVERalias1.TRAVERSE FROM RIVER AS RIVERalias1 WHERE RIVERalias1.TRAVERSE IN ( SELECT BORDER_INFOalias0.STATE_NAME FROM BORDER_INFO AS BORDER_INFOalias0 WHERE BORDER_INFOalias0.BORDER IN ( SELECT BORDER_INFOalias1.BORDER FROM BORDER_INFO AS BORDER_INFOalias1 GROUP BY BORDER_INFOalias1.BORDER HAVING COUNT( 1 ) = ( SELECT MAX( DERIVED_TABLEalias0.DERIVED_FIELDalias1 ) FROM ( SELECT BORDER_INFOalias2.BORDER , COUNT( 1 ) AS DERIVED_FIELDalias1 FROM BORDER_INFO AS BORDER_INFOalias2 GROUP BY BORDER_INFOalias2.BORDER ) AS DERIVED_TABLEalias0 ) ) ) GROUP BY RIVERalias1.TRAVERSE ) AS DERIVED_TABLEalias1 ) ;","select river_name, length from river where traverse in (select state_name from border_info group by state_name order by count(border) desc limit 1) order by length desc limit 1",2.486,0.0022,0.0013,0,0,Data Mismatch
37,where is the highest point in montana,"SELECT HIGHLOWalias0.HIGHEST_POINT FROM HIGHLOW AS HIGHLOWalias0 WHERE HIGHLOWalias0.STATE_NAME = ""montana"" ;",select highest_point from highlow where state_name = 'montana',2.605,0.0003,0.0,0,1,
38,what states have no bordering state,SELECT STATEalias0.STATE_NAME FROM STATE AS STATEalias0 WHERE STATEalias0.STATE_NAME NOT IN ( SELECT BORDER_INFOalias0.STATE_NAME FROM BORDER_INFO AS BORDER_INFOalias0 ) ;,select state_name from state where state_name not in (select state_name from border_info),2.601,0.0004,0.0002,0,1,
39,which state borders most states,"SELECT DERIVED_TABLEalias1.STATE_NAME FROM ( SELECT BORDER_INFOalias0.STATE_NAME , COUNT( DISTINCT BORDER_INFOalias0.BORDER ) AS DERIVED_FIELDalias0 FROM BORDER_INFO AS BORDER_INFOalias0 GROUP BY BORDER_INFOalias0.STATE_NAME ) AS DERIVED_TABLEalias0 WHERE DERIVED_TABLEalias0.DERIVED_FIELDalias0 = ( SELECT MAX( DERIVED_TABLEalias1.DERIVED_FIELDalias1 ) FROM ( SELECT BORDER_INFOalias1.STATE_NAME , COUNT( DISTINCT BORDER_INFOalias1.BORDER ) AS DERIVED_FIELDalias1 FROM BORDER_INFO AS BORDER_INFOalias1 GROUP BY BORDER_INFOalias1.STATE_NAME ) AS DERIVED_TABLEalias1 ) ;",select state_name from border_info group by state_name order by count(border) desc limit 1,2.605,0.0,0.0004,0,0,Gold SQL Error: no such column: DERIVED_TABLEalias1.STATE_NAME
40,what is the area of the state with the smallest population density,SELECT STATEalias0.AREA FROM STATE AS STATEalias0 WHERE STATEalias0.DENSITY = ( SELECT MIN( STATEalias1.DENSITY ) FROM STATE AS STATEalias1 ) ;,select area from state where density = (select min(density) from state),2.293,0.0013,0.0001,0,1,
41,count the states which have elevations lower than what alabama has,"SELECT COUNT( HIGHLOWalias0.STATE_NAME ) FROM HIGHLOW AS HIGHLOWalias0 WHERE HIGHLOWalias0.LOWEST_ELEVATION < ( SELECT HIGHLOWalias1.LOWEST_ELEVATION FROM HIGHLOW AS HIGHLOWalias1 WHERE HIGHLOWalias1.STATE_NAME = ""alabama"" ) ;",select count(state_name) from highlow where lowest_elevation < (select lowest_elevation from highlow where state_name = 'alabama'),2.324,0.0003,0.0001,0,1,
42,how high is mount mckinley,"SELECT HIGHLOWalias0.HIGHEST_ELEVATION FROM HIGHLOW AS HIGHLOWalias0 WHERE HIGHLOWalias0.HIGHEST_POINT = ""mount mckinley"" ;",select mountain_altitude from mountain where mountain_name = 'mount mckinley',2.294,0.0005,0.0001,0,0,Data Mismatch
43,how high is the highest point in america,SELECT MAX( HIGHLOWalias0.HIGHEST_ELEVATION ) FROM HIGHLOW AS HIGHLOWalias0 ;,select highest_elevation from highlow where state_name in (select state_name from state where country_name = 'usa') order by highest_elevation desc limit 1,2.526,0.0003,0.0003,0,1,
44,how long is the colorado river,"SELECT DISTINCT RIVERalias0.LENGTH FROM RIVER AS RIVERalias0 WHERE RIVERalias0.RIVER_NAME = ""colorado"" ;",select length from river where river_name = 'colorado',2.244,0.0004,0.0001,0,1,
45,how long is the longest river in california,"SELECT RIVERalias0.LENGTH FROM RIVER AS RIVERalias0 WHERE RIVERalias0.LENGTH = ( SELECT MAX( RIVERalias1.LENGTH ) FROM RIVER AS RIVERalias1 WHERE RIVERalias1.TRAVERSE = ""california"" ) AND RIVERalias0.TRAVERSE = ""california"" ;",select max(length) from river where traverse = 'california',2.302,0.0006,0.0001,0,1,
46,how many capitals does rhode island have,"SELECT COUNT( STATEalias0.CAPITAL ) FROM STATE AS STATEalias0 WHERE STATEalias0.STATE_NAME = ""rhode island"" ;",select count(capital) from state where state_name = 'rhode island',2.214,0.0005,0.0001,0,1,
47,how many cities are there in the united states,SELECT COUNT( CITYalias0.CITY_NAME ) FROM CITY AS CITYalias0 ;,select count(city_name) from city where country_name = 'usa',2.24,0.0002,0.0001,0,1,
48,how many major cities are there,SELECT COUNT( CITYalias0.CITY_NAME ) FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION > 150000 ;,select count(city_name) from city where population > 1000000,2.399,0.0003,0.0001,0,0,Data Mismatch
49,how many citizens does the biggest city have in the usa,SELECT CITYalias0.POPULATION FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 ) ;,select max(population) from city where country_name = 'usa',2.211,0.0005,0.0001,0,1,
50,how many colorado rivers are there,"SELECT COUNT( RIVERalias0.RIVER_NAME ) FROM RIVER AS RIVERalias0 WHERE RIVERalias0.RIVER_NAME = ""colorado"" ;",select count(river_name) from river where river_name = 'colorado',2.245,0.0003,0.0001,0,1,
51,what is the population of washington dc,"SELECT CITYalias0.POPULATION FROM CITY AS CITYalias0 WHERE CITYalias0.CITY_NAME = ""minneapolis"" AND CITYalias0.STATE_NAME = ""minnesota"" ;",select population from state where state_name = 'washington dc',2.209,0.0004,0.0,0,0,Data Mismatch
52,how many people live in the biggest city in new york state,"SELECT CITYalias0.POPULATION FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""new york"" ) AND CITYalias0.STATE_NAME = ""new york"" ;",select population from city where state_name = 'new york' order by population desc limit 1,2.237,0.0016,0.0002,0,1,
53,how many people live in the capital of texas,"SELECT CITYalias0.POPULATION FROM CITY AS CITYalias0 WHERE CITYalias0.CITY_NAME = ( SELECT STATEalias0.CAPITAL FROM STATE AS STATEalias0 WHERE STATEalias0.STATE_NAME = ""texas"" ) ;",select sum(c.population) from city c join state s on c.state_name = s.state_name and c.city_name = s.capital where s.state_name = 'texas',2.584,0.0003,0.0002,0,1,
54,how many people live in the united states,SELECT SUM( STATEalias0.POPULATION ) FROM STATE AS STATEalias0 ;,select sum(population) from state where country_name = 'usa',2.259,0.0002,0.0001,0,1,
55,how many rivers are in the state that has the most rivers,SELECT COUNT( RIVERalias0.RIVER_NAME ) FROM RIVER AS RIVERalias0 GROUP BY RIVERalias0.TRAVERSE ORDER BY COUNT( RIVERalias0.RIVER_NAME ) DESC LIMIT 1 ;,select count(river_name) from river where country_name = (select country_name from state where state_name = (select state_name from river group by state_name order by count(state_name) desc limit 1)),2.415,0.001,0.0,0,0,SQL Error: no such column: state_name
56,how many states are in the usa,SELECT COUNT( STATEalias0.STATE_NAME ) FROM STATE AS STATEalias0 ;,select count(state_name) from state where country_name = 'usa',2.38,0.0003,0.0,0,1,
57,how many states border iowa,"SELECT COUNT( BORDER_INFOalias0.BORDER ) FROM BORDER_INFO AS BORDER_INFOalias0 WHERE BORDER_INFOalias0.STATE_NAME = ""iowa"" ;",select count(border) from border_info where border = 'iowa',2.236,0.0003,0.0001,0,1,
58,how many states border the state with the largest population,SELECT COUNT( BORDER_INFOalias0.BORDER ) FROM BORDER_INFO AS BORDER_INFOalias0 WHERE BORDER_INFOalias0.STATE_NAME IN ( SELECT STATEalias0.STATE_NAME FROM STATE AS STATEalias0 WHERE STATEalias0.POPULATION = ( SELECT MAX( STATEalias1.POPULATION ) FROM STATE AS STATEalias1 ) ) ;,select count(border) from border_info where border = (select state_name from state order by population desc limit 1),2.289,0.0005,0.0002,0,1,
59,how many states do not have rivers,SELECT COUNT( DISTINCT STATEalias0.STATE_NAME ) FROM STATE AS STATEalias0 WHERE STATEalias0.STATE_NAME NOT IN ( SELECT RIVERalias0.TRAVERSE FROM RIVER AS RIVERalias0 ) ;,select count(state_name) from state where state_name not in (select state_name from border_info where border in (select river_name from river)),2.353,0.0015,0.0003,0,0,Data Mismatch
60,how many states have a higher point than the highest point of the state with the largest capital city in the us,SELECT COUNT( HIGHLOWalias0.STATE_NAME ) FROM HIGHLOW AS HIGHLOWalias0 WHERE HIGHLOWalias0.HIGHEST_ELEVATION > ( SELECT HIGHLOWalias1.HIGHEST_ELEVATION FROM HIGHLOW AS HIGHLOWalias1 WHERE HIGHLOWalias1.STATE_NAME = ( SELECT STATEalias0.STATE_NAME FROM STATE AS STATEalias0 WHERE STATEalias0.CAPITAL = ( SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 ) ) ) ) ;,"select count(*) 
from highlow 
where highest_elevation > ( 
  select highest_elevation 
  from highlow 
  where state_name = ( 
    select state_name 
    from state 
    where country_name = 'usa' 
    order by population desc 
    limit 1 
  ) 
)",2.451,0.0004,0.0002,0,0,Data Mismatch
61,name the major rivers in florida,"SELECT RIVERalias0.RIVER_NAME FROM RIVER AS RIVERalias0 WHERE RIVERalias0.LENGTH > 750 AND RIVERalias0.TRAVERSE = ""florida"" ;",select river_name from river where traverse = 'florida' and length > 300,2.5,0.0005,0.0001,0,0,Data Mismatch
62,through which states does the longest river in texas run,"SELECT RIVERalias0.TRAVERSE FROM RIVER AS RIVERalias0 WHERE RIVERalias0.LENGTH = ( SELECT MAX( RIVERalias1.LENGTH ) FROM RIVER AS RIVERalias1 WHERE RIVERalias1.TRAVERSE = ""texas"" ) ;","select traverse 
from river 
where river_name = ( 
  select river_name 
  from river 
  where length = ( 
    select max(length) 
    from river 
    where traverse like '%texas%' 
  ) 
  and traverse like '%texas%' 
)",2.602,0.0012,0.0001,0,1,
63,what are the capital city in texas,"SELECT STATEalias0.CAPITAL FROM STATE AS STATEalias0 WHERE STATEalias0.STATE_NAME = ""texas"" ;",select capital from state where state_name = 'texas',2.225,0.0002,0.0001,0,1,
64,what are the capitals of states that border missouri,"SELECT STATEalias0.CAPITAL FROM BORDER_INFO AS BORDER_INFOalias0 , STATE AS STATEalias0 WHERE BORDER_INFOalias0.STATE_NAME = ""missouri"" AND STATEalias0.STATE_NAME = BORDER_INFOalias0.BORDER ;",select t1.capital from state t1 inner join border_info t2 on t1.state_name = t2.state_name where t2.border = 'missouri',2.361,0.0004,0.0002,0,1,
65,what are the cities in states through which the mississippi runs,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.STATE_NAME IN ( SELECT RIVERalias0.TRAVERSE FROM RIVER AS RIVERalias0 WHERE RIVERalias0.RIVER_NAME = ""mississippi"" ) ;","select distinct c.city_name 
from city c 
join border_info b on c.state_name = b.state_name 
where b.border = 'mississippi'",2.253,0.0006,0.0007,0,0,Data Mismatch
66,what are the cities of the state with the highest point,SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.STATE_NAME IN ( SELECT HIGHLOWalias0.STATE_NAME FROM HIGHLOW AS HIGHLOWalias0 WHERE HIGHLOWalias0.HIGHEST_ELEVATION = ( SELECT MAX( HIGHLOWalias1.HIGHEST_ELEVATION ) FROM HIGHLOW AS HIGHLOWalias1 ) ) ;,select t2.city_name from highlow as t1 inner join city as t2 on t1.state_name = t2.state_name order by t1.highest_elevation desc limit 1,2.285,0.0008,0.0031,0,0,Data Mismatch
67,what are the highest points of all the states,SELECT HIGHLOWalias0.HIGHEST_POINT FROM HIGHLOW AS HIGHLOWalias0 ;,"select state_name, highest_point from highlow",2.25,0.0012,0.0002,0,0,Data Mismatch
68,what are the major cities in alabama,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION > 150000 AND CITYalias0.STATE_NAME = ""alabama"" ;",select city_name from city where state_name = 'alabama' and population > 200000,2.235,0.0003,0.0001,0,0,Data Mismatch
69,what are the major cities in states through which the mississippi runs,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION > 150000 AND CITYalias0.STATE_NAME IN ( SELECT RIVERalias0.TRAVERSE FROM RIVER AS RIVERalias0 WHERE RIVERalias0.LENGTH > 750 AND RIVERalias0.RIVER_NAME = ""mississippi"" ) ;",select c.city_name from city c join river r on c.state_name = r.traverse where r.river_name = 'mississippi' and c.population > 150000,2.555,0.0006,0.0003,0,1,
70,what are the major cities in the usa,SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION > 150000 ;,select city_name from city where country_name = 'usa' and population > 1000000,2.274,0.0015,0.0001,0,0,Data Mismatch
71,what are the population densities of each us state,SELECT STATEalias0.DENSITY FROM STATE AS STATEalias0 ;,"select state_name, density from state where country_name = 'usa'",2.265,0.0003,0.0002,0,0,Data Mismatch
72,what are the populations of states through which the mississippi river run,"SELECT STATEalias0.POPULATION FROM STATE AS STATEalias0 WHERE STATEalias0.STATE_NAME IN ( SELECT RIVERalias0.TRAVERSE FROM RIVER AS RIVERalias0 WHERE RIVERalias0.RIVER_NAME = ""mississippi"" ) ;",select distinct t1.population from state as t1 inner join river as t2 on t1.state_name = t2.traverse where t2.river_name = 'mississippi',2.514,0.0007,0.0003,0,1,
73,what are the populations of states which border texas,"SELECT STATEalias0.POPULATION FROM BORDER_INFO AS BORDER_INFOalias0 , STATE AS STATEalias0 WHERE BORDER_INFOalias0.STATE_NAME = ""texas"" AND STATEalias0.STATE_NAME = BORDER_INFOalias0.BORDER ;",select t1.population from state t1 inner join border_info t2 on t1.state_name = t2.state_name where t2.border = 'texas',2.495,0.0005,0.0002,0,1,
74,what are the populations of the major cities of texas,"SELECT CITYalias0.POPULATION FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION > 150000 AND CITYalias0.STATE_NAME = ""texas"" ;",select population from city where state_name = 'texas' and population > 1000000,2.245,0.0004,0.0001,0,0,Data Mismatch
75,what city has the most people,SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 ) ;,select city_name from city order by population desc limit 1,2.418,0.0011,0.0002,0,1,
76,what is capital of the state with the lowest point,"SELECT STATEalias0.CAPITAL FROM HIGHLOW AS HIGHLOWalias0 , STATE AS STATEalias0 WHERE HIGHLOWalias0.LOWEST_ELEVATION = ( SELECT MIN( HIGHLOWalias1.LOWEST_ELEVATION ) FROM HIGHLOW AS HIGHLOWalias1 ) AND STATEalias0.STATE_NAME = HIGHLOWalias0.STATE_NAME ;",select t1.capital from state t1 inner join highlow t2 on t1.state_name = t2.state_name order by t2.lowest_elevation asc limit 1,2.384,0.0004,0.0002,0,1,
