Question ID,Question Text,Truth Query,LLM Query,Generation Time (s),Truth Exec Time (s),LLM Exec Time (s),String Match,Execution Score,Error_Message
20,how many states border the state that borders the most states,"SELECT MAX( DERIVED_TABLEalias0.DERIVED_FIELDalias0 ) FROM ( SELECT BORDER_INFOalias0.STATE_NAME , COUNT( DISTINCT BORDER_INFOalias0.BORDER ) AS DERIVED_FIELDalias0 FROM BORDER_INFO AS BORDER_INFOalias0 GROUP BY BORDER_INFOalias0.STATE_NAME ) AS DERIVED_TABLEalias0 ;",SELECT COUNT(border) FROM border_info WHERE state_name = (SELECT state_name FROM border_info GROUP BY state_name ORDER BY COUNT(border) DESC LIMIT 1),3.292,0.0012,0.0005,0,1,
21,what state is dallas in,"SELECT CITYalias0.STATE_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.CITY_NAME = ""dallas"" ;",SELECT state_name FROM city WHERE city_name = 'dallas',4.265,0.0003,0.0001,0,1,
22,what is the population of the state with the largest area,SELECT STATEalias0.POPULATION FROM STATE AS STATEalias0 WHERE STATEalias0.AREA = ( SELECT MAX( STATEalias1.AREA ) FROM STATE AS STATEalias1 ) ;,SELECT population FROM state WHERE area = (SELECT MAX(area) FROM state),4.45,0.0003,0.0001,0,1,
23,how many people live in chicago,"SELECT CITYalias0.POPULATION FROM CITY AS CITYalias0 WHERE CITYalias0.CITY_NAME = ""chicago"" ;",SELECT population FROM city WHERE city_name = 'chicago',3.261,0.0005,0.0001,0,1,
24,what is the smallest city in arkansas,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MIN( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""arkansas"" ) AND CITYalias0.STATE_NAME = ""arkansas"" ;",SELECT city_name FROM city WHERE state_name = 'arkansas' AND population = (SELECT MIN(population) FROM city WHERE state_name = 'arkansas'),4.286,0.0005,0.0002,0,1,
25,which states lie on the largest river in the united states,SELECT RIVERalias0.TRAVERSE FROM RIVER AS RIVERalias0 WHERE RIVERalias0.LENGTH = ( SELECT MAX( RIVERalias1.LENGTH ) FROM RIVER AS RIVERalias1 ) ;,SELECT traverse FROM river WHERE length = (SELECT MAX(length) FROM river WHERE country_name = 'usa'),4.567,0.0006,0.0002,0,1,
26,what is the population density of the state with the smallest area,SELECT STATEalias0.DENSITY FROM STATE AS STATEalias0 WHERE STATEalias0.AREA = ( SELECT MIN( STATEalias1.AREA ) FROM STATE AS STATEalias1 ) ;,SELECT density FROM state WHERE area = (SELECT MIN(area) FROM state),3.42,0.0016,0.0001,0,1,
27,which states have points higher than the highest point in colorado,"SELECT HIGHLOWalias0.STATE_NAME FROM HIGHLOW AS HIGHLOWalias0 WHERE HIGHLOWalias0.HIGHEST_ELEVATION > ( SELECT HIGHLOWalias1.HIGHEST_ELEVATION FROM HIGHLOW AS HIGHLOWalias1 WHERE HIGHLOWalias1.STATE_NAME = ""colorado"" ) ;",SELECT state_name FROM highlow WHERE highest_elevation > (SELECT highest_elevation FROM highlow WHERE state_name = 'colorado'),4.415,0.0003,0.0001,0,1,
28,what is the highest elevation in new mexico,"SELECT HIGHLOWalias0.HIGHEST_ELEVATION FROM HIGHLOW AS HIGHLOWalias0 WHERE HIGHLOWalias0.STATE_NAME = ""new mexico"" ;",SELECT highest_elevation FROM highlow WHERE state_name = 'new mexico',3.408,0.0009,0.0,0,1,
29,give me the longest river that passes through the us,SELECT RIVERalias0.RIVER_NAME FROM RIVER AS RIVERalias0 WHERE RIVERalias0.LENGTH = ( SELECT MAX( RIVERalias1.LENGTH ) FROM RIVER AS RIVERalias1 ) ;,SELECT river_name FROM river WHERE length = (SELECT MAX(length) FROM river) AND country_name = 'usa',4.356,0.0002,0.0001,0,1,
30,what state has the city with the largest population,SELECT CITYalias0.STATE_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 ) ;,SELECT state_name FROM city WHERE population = (SELECT MAX(population) FROM city),3.235,0.0006,0.0001,0,1,
31,what is the smallest city in the largest state,SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MIN( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME IN ( SELECT STATEalias0.STATE_NAME FROM STATE AS STATEalias0 WHERE STATEalias0.AREA = ( SELECT MAX( STATEalias1.AREA ) FROM STATE AS STATEalias1 ) ) ) AND CITYalias0.STATE_NAME IN ( SELECT STATEalias2.STATE_NAME FROM STATE AS STATEalias2 WHERE STATEalias2.AREA = ( SELECT MAX( STATEalias3.AREA ) FROM STATE AS STATEalias3 ) ) ;,SELECT city_name FROM city WHERE population = (SELECT MIN(population) FROM city) AND state_name = (SELECT state_name FROM state WHERE area = (SELECT MAX(area) FROM state)),4.712,0.0024,0.0002,0,0,Data Mismatch
32,what state is the biggest,SELECT STATEalias0.STATE_NAME FROM STATE AS STATEalias0 WHERE STATEalias0.AREA = ( SELECT MAX( STATEalias1.AREA ) FROM STATE AS STATEalias1 ) ;,SELECT state_name FROM state WHERE area = (SELECT MAX(area) FROM state),3.674,0.0005,0.0001,0,1,
33,what are the highest points of states surrounding mississippi,"SELECT HIGHLOWalias0.HIGHEST_POINT FROM HIGHLOW AS HIGHLOWalias0 WHERE HIGHLOWalias0.STATE_NAME IN ( SELECT BORDER_INFOalias0.BORDER FROM BORDER_INFO AS BORDER_INFOalias0 WHERE BORDER_INFOalias0.STATE_NAME = ""mississippi"" ) ;",SELECT highest_point FROM highlow WHERE state_name IN (SELECT border FROM border_info WHERE state_name = 'mississippi'),4.647,0.0004,0.0001,0,1,
34,what is the highest point in states bordering georgia,"SELECT HIGHLOWalias0.HIGHEST_POINT FROM HIGHLOW AS HIGHLOWalias0 WHERE HIGHLOWalias0.STATE_NAME IN ( SELECT BORDER_INFOalias0.BORDER FROM BORDER_INFO AS BORDER_INFOalias0 WHERE BORDER_INFOalias0.STATE_NAME = ""mississippi"" ) ORDER BY HIGHLOWalias0.HIGHEST_ELEVATION DESC LIMIT 1 ;",SELECT highest_point FROM highlow WHERE state_name IN (SELECT border FROM border_info WHERE state_name = 'georgia'),3.427,0.0007,0.0002,0,0,Data Mismatch
35,what is the state with the lowest population density,SELECT STATEalias0.STATE_NAME FROM STATE AS STATEalias0 WHERE STATEalias0.DENSITY = ( SELECT MIN( STATEalias1.DENSITY ) FROM STATE AS STATEalias1 ) ;,SELECT state_name FROM state WHERE density = (SELECT MIN(density) FROM state),4.611,0.0002,0.0,0,1,
36,what is the longest river that passes the states that border the state that borders the most states,"SELECT DISTINCT RIVERalias0.RIVER_NAME FROM RIVER AS RIVERalias0 WHERE RIVERalias0.LENGTH IN ( SELECT MAX( DERIVED_TABLEalias1.DERIVED_FIELDalias0 ) FROM ( SELECT MAX( RIVERalias1.LENGTH ) AS DERIVED_FIELDalias0 , RIVERalias1.TRAVERSE FROM RIVER AS RIVERalias1 WHERE RIVERalias1.TRAVERSE IN ( SELECT BORDER_INFOalias0.STATE_NAME FROM BORDER_INFO AS BORDER_INFOalias0 WHERE BORDER_INFOalias0.BORDER IN ( SELECT BORDER_INFOalias1.BORDER FROM BORDER_INFO AS BORDER_INFOalias1 GROUP BY BORDER_INFOalias1.BORDER HAVING COUNT( 1 ) = ( SELECT MAX( DERIVED_TABLEalias0.DERIVED_FIELDalias1 ) FROM ( SELECT BORDER_INFOalias2.BORDER , COUNT( 1 ) AS DERIVED_FIELDalias1 FROM BORDER_INFO AS BORDER_INFOalias2 GROUP BY BORDER_INFOalias2.BORDER ) AS DERIVED_TABLEalias0 ) ) ) GROUP BY RIVERalias1.TRAVERSE ) AS DERIVED_TABLEalias1 ) ;",SELECT river_name FROM river WHERE length = (SELECT MAX(length) FROM river WHERE traverse IN (SELECT border FROM border_info WHERE state_name = (SELECT state_name FROM border_info GROUP BY state_name ORDER BY COUNT(border) DESC LIMIT 1))),3.368,0.0025,0.0004,0,1,
37,where is the highest point in montana,"SELECT HIGHLOWalias0.HIGHEST_POINT FROM HIGHLOW AS HIGHLOWalias0 WHERE HIGHLOWalias0.STATE_NAME = ""montana"" ;",SELECT highest_point FROM highlow WHERE state_name = 'montana',4.373,0.0004,0.0001,0,1,
38,what states have no bordering state,SELECT STATEalias0.STATE_NAME FROM STATE AS STATEalias0 WHERE STATEalias0.STATE_NAME NOT IN ( SELECT BORDER_INFOalias0.STATE_NAME FROM BORDER_INFO AS BORDER_INFOalias0 ) ;,SELECT state_name FROM border_info WHERE border IS NULL OR border = '',3.597,0.0006,0.0001,0,0,Data Mismatch
39,which state borders most states,"SELECT DERIVED_TABLEalias1.STATE_NAME FROM ( SELECT BORDER_INFOalias0.STATE_NAME , COUNT( DISTINCT BORDER_INFOalias0.BORDER ) AS DERIVED_FIELDalias0 FROM BORDER_INFO AS BORDER_INFOalias0 GROUP BY BORDER_INFOalias0.STATE_NAME ) AS DERIVED_TABLEalias0 WHERE DERIVED_TABLEalias0.DERIVED_FIELDalias0 = ( SELECT MAX( DERIVED_TABLEalias1.DERIVED_FIELDalias1 ) FROM ( SELECT BORDER_INFOalias1.STATE_NAME , COUNT( DISTINCT BORDER_INFOalias1.BORDER ) AS DERIVED_FIELDalias1 FROM BORDER_INFO AS BORDER_INFOalias1 GROUP BY BORDER_INFOalias1.STATE_NAME ) AS DERIVED_TABLEalias1 ) ;",SELECT state_name FROM border_info GROUP BY state_name ORDER BY COUNT(border) DESC LIMIT 1,4.593,0.0,0.0005,0,0,Gold SQL Error: no such column: DERIVED_TABLEalias1.STATE_NAME
40,what is the area of the state with the smallest population density,SELECT STATEalias0.AREA FROM STATE AS STATEalias0 WHERE STATEalias0.DENSITY = ( SELECT MIN( STATEalias1.DENSITY ) FROM STATE AS STATEalias1 ) ;,SELECT area FROM state WHERE density = (SELECT MIN(density) FROM state),3.33,0.0006,0.0001,0,1,
41,count the states which have elevations lower than what alabama has,"SELECT COUNT( HIGHLOWalias0.STATE_NAME ) FROM HIGHLOW AS HIGHLOWalias0 WHERE HIGHLOWalias0.LOWEST_ELEVATION < ( SELECT HIGHLOWalias1.LOWEST_ELEVATION FROM HIGHLOW AS HIGHLOWalias1 WHERE HIGHLOWalias1.STATE_NAME = ""alabama"" ) ;",SELECT COUNT(state_name) FROM highlow WHERE highest_elevation < (SELECT highest_elevation FROM highlow WHERE state_name = 'alabama'),4.425,0.0004,0.0001,0,0,Data Mismatch
42,how high is mount mckinley,"SELECT HIGHLOWalias0.HIGHEST_ELEVATION FROM HIGHLOW AS HIGHLOWalias0 WHERE HIGHLOWalias0.HIGHEST_POINT = ""mount mckinley"" ;",SELECT highest_elevation FROM highlow WHERE highest_point = 'mckinley',3.398,0.0002,0.0001,0,0,Data Mismatch
43,how high is the highest point in america,SELECT MAX( HIGHLOWalias0.HIGHEST_ELEVATION ) FROM HIGHLOW AS HIGHLOWalias0 ;,SELECT MAX(highest_elevation) FROM highlow,4.585,0.0011,0.0001,0,1,
44,how long is the colorado river,"SELECT DISTINCT RIVERalias0.LENGTH FROM RIVER AS RIVERalias0 WHERE RIVERalias0.RIVER_NAME = ""colorado"" ;",SELECT length FROM river WHERE river_name = 'colorado',3.535,0.0006,0.0001,0,1,
45,how long is the longest river in california,"SELECT RIVERalias0.LENGTH FROM RIVER AS RIVERalias0 WHERE RIVERalias0.LENGTH = ( SELECT MAX( RIVERalias1.LENGTH ) FROM RIVER AS RIVERalias1 WHERE RIVERalias1.TRAVERSE = ""california"" ) AND RIVERalias0.TRAVERSE = ""california"" ;",SELECT length FROM river WHERE length = (SELECT MAX(length) FROM river WHERE traverse = 'california') AND traverse = 'california',3.61,0.0006,0.0002,0,1,
46,how many capitals does rhode island have,"SELECT COUNT( STATEalias0.CAPITAL ) FROM STATE AS STATEalias0 WHERE STATEalias0.STATE_NAME = ""rhode island"" ;",SELECT COUNT capital FROM state WHERE state_name = 'rhode island',4.284,0.0005,0.0,0,0,SQL Error: no such column: COUNT
47,how many cities are there in the united states,SELECT COUNT( CITYalias0.CITY_NAME ) FROM CITY AS CITYalias0 ;,SELECT COUNT(city_name) FROM city WHERE country_name = 'usa',3.43,0.0003,0.0002,0,1,
48,how many major cities are there,SELECT COUNT( CITYalias0.CITY_NAME ) FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION > 150000 ;,SELECT COUNT(city_name) FROM city WHERE population > 150000,4.357,0.0004,0.0001,0,1,
49,how many citizens does the biggest city have in the usa,SELECT CITYalias0.POPULATION FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 ) ;,SELECT MAX(population) FROM city WHERE country_name = 'usa',4.322,0.0007,0.0002,0,1,
50,how many colorado rivers are there,"SELECT COUNT( RIVERalias0.RIVER_NAME ) FROM RIVER AS RIVERalias0 WHERE RIVERalias0.RIVER_NAME = ""colorado"" ;",SELECT COUNT(river_name) FROM river WHERE traverse = 'colorado',3.92,0.0006,0.0001,0,0,Data Mismatch
51,what is the population of washington dc,"SELECT CITYalias0.POPULATION FROM CITY AS CITYalias0 WHERE CITYalias0.CITY_NAME = ""minneapolis"" AND CITYalias0.STATE_NAME = ""minnesota"" ;",SELECT population FROM city WHERE city_name = 'washington dc',3.997,0.0007,0.0001,0,0,Data Mismatch
52,how many people live in the biggest city in new york state,"SELECT CITYalias0.POPULATION FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""new york"" ) AND CITYalias0.STATE_NAME = ""new york"" ;",SELECT MAX(population) FROM city WHERE state_name = 'new york',3.444,0.0008,0.0002,0,1,
53,how many people live in the capital of texas,"SELECT CITYalias0.POPULATION FROM CITY AS CITYalias0 WHERE CITYalias0.CITY_NAME = ( SELECT STATEalias0.CAPITAL FROM STATE AS STATEalias0 WHERE STATEalias0.STATE_NAME = ""texas"" ) ;",SELECT population FROM city WHERE city_name = (SELECT capital FROM state WHERE state_name = 'texas'),4.35,0.0004,0.0002,0,1,
54,how many people live in the united states,SELECT SUM( STATEalias0.POPULATION ) FROM STATE AS STATEalias0 ;,SELECT SUM(population) FROM state WHERE country_name = 'usa',3.586,0.0004,0.0001,0,1,
55,how many rivers are in the state that has the most rivers,SELECT COUNT( RIVERalias0.RIVER_NAME ) FROM RIVER AS RIVERalias0 GROUP BY RIVERalias0.TRAVERSE ORDER BY COUNT( RIVERalias0.RIVER_NAME ) DESC LIMIT 1 ;,SELECT COUNT(river_name) FROM river WHERE traverse = (SELECT traverse FROM river GROUP BY traverse ORDER BY COUNT(traverse) DESC LIMIT 1),4.804,0.0018,0.0003,0,1,
56,how many states are in the usa,SELECT COUNT( STATEalias0.STATE_NAME ) FROM STATE AS STATEalias0 ;,SELECT COUNT(state_name) FROM state WHERE country_name = 'usa',3.551,0.0004,0.0001,0,1,
57,how many states border iowa,"SELECT COUNT( BORDER_INFOalias0.BORDER ) FROM BORDER_INFO AS BORDER_INFOalias0 WHERE BORDER_INFOalias0.STATE_NAME = ""iowa"" ;",SELECT COUNT(border) FROM border_info WHERE state_name = 'iowa',3.651,0.0003,0.0001,0,1,
58,how many states border the state with the largest population,SELECT COUNT( BORDER_INFOalias0.BORDER ) FROM BORDER_INFO AS BORDER_INFOalias0 WHERE BORDER_INFOalias0.STATE_NAME IN ( SELECT STATEalias0.STATE_NAME FROM STATE AS STATEalias0 WHERE STATEalias0.POPULATION = ( SELECT MAX( STATEalias1.POPULATION ) FROM STATE AS STATEalias1 ) ) ;,SELECT COUNT(border) FROM border_info WHERE state_name = (SELECT state_name FROM state WHERE population = (SELECT MAX(population) FROM state)),4.6,0.0005,0.0001,0,1,
59,how many states do not have rivers,SELECT COUNT( DISTINCT STATEalias0.STATE_NAME ) FROM STATE AS STATEalias0 WHERE STATEalias0.STATE_NAME NOT IN ( SELECT RIVERalias0.TRAVERSE FROM RIVER AS RIVERalias0 ) ;,SELECT state_name FROM state WHERE state_name NOT IN (SELECT traverse FROM river),3.338,0.0007,0.0002,0,0,Data Mismatch
60,how many states have a higher point than the highest point of the state with the largest capital city in the us,SELECT COUNT( HIGHLOWalias0.STATE_NAME ) FROM HIGHLOW AS HIGHLOWalias0 WHERE HIGHLOWalias0.HIGHEST_ELEVATION > ( SELECT HIGHLOWalias1.HIGHEST_ELEVATION FROM HIGHLOW AS HIGHLOWalias1 WHERE HIGHLOWalias1.STATE_NAME = ( SELECT STATEalias0.STATE_NAME FROM STATE AS STATEalias0 WHERE STATEalias0.CAPITAL = ( SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 ) ) ) ) ;,SELECT COUNT(*) FROM highlow WHERE highest_elevation > (SELECT MAX(highest_elevation) FROM highlow AS h JOIN state AS s ON h.state_name = s.state_name WHERE s.capital = (SELECT capital FROM state WHERE population = (SELECT MAX(population) FROM state))),4.7,0.0007,0.002,0,0,Data Mismatch
61,name the major rivers in florida,"SELECT RIVERalias0.RIVER_NAME FROM RIVER AS RIVERalias0 WHERE RIVERalias0.LENGTH > 750 AND RIVERalias0.TRAVERSE = ""florida"" ;",SELECT river_name FROM river WHERE length > 750 AND traverse = 'florida',3.261,0.0006,0.0001,0,1,
62,through which states does the longest river in texas run,"SELECT RIVERalias0.TRAVERSE FROM RIVER AS RIVERalias0 WHERE RIVERalias0.LENGTH = ( SELECT MAX( RIVERalias1.LENGTH ) FROM RIVER AS RIVERalias1 WHERE RIVERalias1.TRAVERSE = ""texas"" ) ;",SELECT traverse FROM river WHERE length = (SELECT MAX(length) FROM river WHERE traverse = 'texas') AND traverse = 'texas',4.479,0.0006,0.0002,0,0,Data Mismatch
63,what are the capital city in texas,"SELECT STATEalias0.CAPITAL FROM STATE AS STATEalias0 WHERE STATEalias0.STATE_NAME = ""texas"" ;",SELECT capital FROM state WHERE state_name = 'texas',3.28,0.0005,0.0001,0,1,
64,what are the capitals of states that border missouri,"SELECT STATEalias0.CAPITAL FROM BORDER_INFO AS BORDER_INFOalias0 , STATE AS STATEalias0 WHERE BORDER_INFOalias0.STATE_NAME = ""missouri"" AND STATEalias0.STATE_NAME = BORDER_INFOalias0.BORDER ;",SELECT capital FROM state WHERE state_name IN (SELECT border FROM border_info WHERE state_name = 'missouri'),4.378,0.0006,0.0002,0,1,
65,what are the cities in states through which the mississippi runs,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.STATE_NAME IN ( SELECT RIVERalias0.TRAVERSE FROM RIVER AS RIVERalias0 WHERE RIVERalias0.RIVER_NAME = ""mississippi"" ) ;",SELECT city_name FROM city WHERE state_name IN (SELECT traverse FROM river WHERE river_name = 'mississippi'),4.351,0.0016,0.0003,0,1,
66,what are the cities of the state with the highest point,SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.STATE_NAME IN ( SELECT HIGHLOWalias0.STATE_NAME FROM HIGHLOW AS HIGHLOWalias0 WHERE HIGHLOWalias0.HIGHEST_ELEVATION = ( SELECT MAX( HIGHLOWalias1.HIGHEST_ELEVATION ) FROM HIGHLOW AS HIGHLOWalias1 ) ) ;,SELECT city_name FROM city WHERE state_name = (SELECT state_name FROM highlow ORDER BY highest_elevation DESC LIMIT 1),3.279,0.0006,0.0002,0,1,
67,what are the highest points of all the states,SELECT HIGHLOWalias0.HIGHEST_POINT FROM HIGHLOW AS HIGHLOWalias0 ;,SELECT highest_point FROM highlow,4.257,0.0006,0.0002,0,1,
68,what are the major cities in alabama,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION > 150000 AND CITYalias0.STATE_NAME = ""alabama"" ;",SELECT city_name FROM city WHERE population > 150000 AND state_name = 'alabama',4.424,0.0003,0.0001,0,1,
69,what are the major cities in states through which the mississippi runs,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION > 150000 AND CITYalias0.STATE_NAME IN ( SELECT RIVERalias0.TRAVERSE FROM RIVER AS RIVERalias0 WHERE RIVERalias0.LENGTH > 750 AND RIVERalias0.RIVER_NAME = ""mississippi"" ) ;",SELECT city_name FROM city WHERE population > 150000 AND state_name IN (SELECT traverse FROM river WHERE river_name = 'mississippi'),3.411,0.0007,0.0002,0,1,
70,what are the major cities in the usa,SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION > 150000 ;,SELECT city_name FROM city WHERE population > 150000 AND country_name = 'usa',4.692,0.0005,0.0003,0,1,
71,what are the population densities of each us state,SELECT STATEalias0.DENSITY FROM STATE AS STATEalias0 ;,SELECT density FROM state WHERE country_name = 'usa',3.486,0.0018,0.0002,0,1,
72,what are the populations of states through which the mississippi river run,"SELECT STATEalias0.POPULATION FROM STATE AS STATEalias0 WHERE STATEalias0.STATE_NAME IN ( SELECT RIVERalias0.TRAVERSE FROM RIVER AS RIVERalias0 WHERE RIVERalias0.RIVER_NAME = ""mississippi"" ) ;",SELECT population FROM state WHERE state_name IN (SELECT traverse FROM river WHERE river_name = 'mississippi'),3.262,0.0004,0.0001,0,1,
73,what are the populations of states which border texas,"SELECT STATEalias0.POPULATION FROM BORDER_INFO AS BORDER_INFOalias0 , STATE AS STATEalias0 WHERE BORDER_INFOalias0.STATE_NAME = ""texas"" AND STATEalias0.STATE_NAME = BORDER_INFOalias0.BORDER ;",SELECT population FROM state WHERE state_name IN (SELECT border FROM border_info WHERE state_name = 'texas'),4.303,0.0006,0.0002,0,1,
